Uke,År,Navn,Lokalitetsnummer,Lokalitetsnavn,Tiltak,Virkestoff,Type behandling,Rensefisk,Omfang,Antall,Lat,Lon,Lokalitetskapasitet
12,2022,MOWI ASA,10318,Gulestø,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,61.75802,5.069883,5460.0
28,2021,MOWI ASA,10318,Gulestø,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.75802,5.069883,5460.0
15,2021,MOWI ASA,10318,Gulestø,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.75802,5.069883,5460.0
4,2021,MOWI ASA,10318,Gulestø,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.75802,5.069883,5460.0
3,2021,MOWI ASA,10318,Gulestø,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.75802,5.069883,5460.0
2,2021,MOWI ASA,10318,Gulestø,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.75802,5.069883,5460.0
53,2020,MOWI ASA,10318,Gulestø,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.75802,5.069883,5460.0
42,2020,MOWI ASA,10318,Gulestø,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.75802,5.069883,5460.0
12,2022,MOWI ASA,13643,Hjartholm,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.03512,5.33105,3120.0
11,2022,MOWI ASA,13643,Hjartholm,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.03512,5.33105,3120.0
51,2021,MOWI ASA,13643,Hjartholm,medikamentell,Azamethiphos,badebehandling,Ingen,hele lokaliteten,,61.03512,5.33105,3120.0
50,2021,MOWI ASA,13643,Hjartholm,medikamentell,Azamethiphos,badebehandling,Ingen,hele lokaliteten,,61.03512,5.33105,3120.0
47,2021,MOWI ASA,13643,Hjartholm,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,deler av lokaliteten,,61.03512,5.33105,3120.0
46,2021,MOWI ASA,13643,Hjartholm,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,deler av lokaliteten,,61.03512,5.33105,3120.0
42,2021,MOWI ASA,13643,Hjartholm,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,deler av lokaliteten,,61.03512,5.33105,3120.0
41,2021,MOWI ASA,13643,Hjartholm,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,deler av lokaliteten,,61.03512,5.33105,3120.0
36,2021,MOWI ASA,13643,Hjartholm,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,61.03512,5.33105,3120.0
47,2020,MOWI ASA,13643,Hjartholm,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.03512,5.33105,3120.0
46,2020,MOWI ASA,13643,Hjartholm,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.03512,5.33105,3120.0
42,2020,MOWI ASA,13643,Hjartholm,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.03512,5.33105,3120.0
39,2020,MOWI ASA,13643,Hjartholm,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.03512,5.33105,3120.0
33,2020,MOWI ASA,13643,Hjartholm,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.03512,5.33105,3120.0
32,2020,MOWI ASA,13643,Hjartholm,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.03512,5.33105,3120.0
28,2020,MOWI ASA,13643,Hjartholm,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.03512,5.33105,3120.0
26,2020,MOWI ASA,13643,Hjartholm,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.03512,5.33105,3120.0
24,2020,MOWI ASA,13643,Hjartholm,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.03512,5.33105,3120.0
9,2020,MOWI ASA,13643,Hjartholm,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.03512,5.33105,3120.0
12,2022,MIDT-NORSK HAVBRUK AS,12660,Kipholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,64.79403,11.690367,3900.0
5,2022,MIDT-NORSK HAVBRUK AS,12660,Kipholmen,medikamentell,Annet virkestoff,fôrbehandling,Ingen,deler av lokaliteten,,64.79387,11.689533,3900.0
4,2022,MIDT-NORSK HAVBRUK AS,12660,Kipholmen,medikamentell,Annet virkestoff,fôrbehandling,Ingen,deler av lokaliteten,,64.79387,11.689533,3900.0
51,2020,MIDT-NORSK HAVBRUK AS,12660,Kipholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,64.79387,11.689533,3900.0
48,2020,MIDT-NORSK HAVBRUK AS,12660,Kipholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,64.79387,11.689533,3900.0
47,2020,MIDT-NORSK HAVBRUK AS,12660,Kipholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,64.79387,11.689533,3900.0
43,2020,MIDT-NORSK HAVBRUK AS,12660,Kipholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,64.79387,11.689533,3900.0
42,2020,MIDT-NORSK HAVBRUK AS,12660,Kipholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,64.79387,11.689533,3900.0
39,2020,MIDT-NORSK HAVBRUK AS,12660,Kipholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,64.79387,11.689533,3900.0
34,2020,MIDT-NORSK HAVBRUK AS,12660,Kipholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,64.79387,11.689533,3900.0
19,2020,MIDT-NORSK HAVBRUK AS,12660,Kipholmen,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,deler av lokaliteten,,64.79387,11.689533,3900.0
18,2020,MIDT-NORSK HAVBRUK AS,12660,Kipholmen,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,64.79387,11.689533,3900.0
15,2020,MIDT-NORSK HAVBRUK AS,12660,Kipholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,64.79387,11.689533,3900.0
6,2020,MIDT-NORSK HAVBRUK AS,12660,Kipholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,64.79387,11.689533,3900.0
12,2022,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
11,2022,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
7,2022,MOWI ASA,31697,Oksen,medikamentell,Azamethiphos,badebehandling,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
7,2022,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
6,2022,MOWI ASA,31697,Oksen,medikamentell,Azamethiphos,badebehandling,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
6,2022,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
5,2022,MOWI ASA,31697,Oksen,medikamentell,Azamethiphos,badebehandling,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
5,2022,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
1,2022,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
51,2021,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,60.43418,4.94065,4680.0
50,2021,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
21,2021,MOWI ASA,31697,Oksen,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,60.43418,4.94065,4680.0
43,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
42,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
39,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
38,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
37,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
36,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
34,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
33,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
31,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
30,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
27,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
26,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
25,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
24,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
23,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
22,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
21,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
20,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
10,2020,MOWI ASA,31697,Oksen,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,60.43418,4.94065,4680.0
10,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
9,2020,MOWI ASA,31697,Oksen,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
9,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
8,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
6,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
5,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
4,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
3,2020,MOWI ASA,31697,Oksen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.43418,4.94065,4680.0
12,2022,MOWI ASA,18657,Skredstivik,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,deler av lokaliteten,,61.15495,5.133333,4680.0
11,2022,MOWI ASA,18657,Skredstivik,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,61.15495,5.133333,4680.0
29,2021,MOWI ASA,18657,Skredstivik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.15495,5.133333,4680.0
26,2021,MOWI ASA,18657,Skredstivik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.15495,5.133333,4680.0
25,2021,MOWI ASA,18657,Skredstivik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.15495,5.133333,4680.0
22,2021,MOWI ASA,18657,Skredstivik,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.15495,5.133333,4680.0
15,2021,MOWI ASA,18657,Skredstivik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.15495,5.133333,4680.0
14,2021,MOWI ASA,18657,Skredstivik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.15495,5.133333,4680.0
11,2021,MOWI ASA,18657,Skredstivik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.15495,5.133333,4680.0
5,2021,MOWI ASA,18657,Skredstivik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.15495,5.133333,4680.0
2,2021,MOWI ASA,18657,Skredstivik,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.15495,5.133333,4680.0
50,2020,MOWI ASA,18657,Skredstivik,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.15495,5.133333,4680.0
47,2020,MOWI ASA,18657,Skredstivik,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.15495,5.133333,4680.0
46,2020,MOWI ASA,18657,Skredstivik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.15495,5.133333,4680.0
32,2020,MOWI ASA,18657,Skredstivik,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,61.15495,5.133333,4680.0
31,2020,MOWI ASA,18657,Skredstivik,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,61.15495,5.133333,4680.0
29,2020,MOWI ASA,18657,Skredstivik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.15495,5.133333,4680.0
11,2022,MOWI ASA,13205,Brattholmen,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.068382,4.713817,2340.0
3,2022,MOWI ASA,13205,Brattholmen,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.068382,4.713817,2340.0
48,2021,MOWI ASA,13205,Brattholmen,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.068382,4.713817,2340.0
30,2021,MOWI ASA,13205,Brattholmen,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,61.068382,4.713817,2340.0
29,2021,MOWI ASA,13205,Brattholmen,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,61.068382,4.713817,2340.0
9,2020,MOWI ASA,13205,Brattholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.068382,4.713817,2340.0
11,2022,MOWI ASA,27976,Bukkholmen,medikamentell,Hydrogenperoksid,badebehandling,Ingen,deler av lokaliteten,,65.918816,12.24605,4680.0
10,2022,MOWI ASA,27976,Bukkholmen,medikamentell,Hydrogenperoksid,badebehandling,Ingen,deler av lokaliteten,,65.918816,12.24605,4680.0
49,2021,MOWI ASA,27976,Bukkholmen,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,65.918816,12.24605,4680.0
34,2020,MOWI ASA,27976,Bukkholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,65.918816,12.24605,4680.0
33,2020,MOWI ASA,27976,Bukkholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,65.918816,12.24605,4680.0
31,2020,MOWI ASA,27976,Bukkholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,65.918816,12.24605,4680.0
28,2020,MOWI ASA,27976,Bukkholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,65.918816,12.24605,4680.0
27,2020,MOWI ASA,27976,Bukkholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,65.918816,12.24605,4680.0
26,2020,MOWI ASA,27976,Bukkholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,65.918816,12.24605,4680.0
25,2020,MOWI ASA,27976,Bukkholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,65.918816,12.24605,4680.0
24,2020,MOWI ASA,27976,Bukkholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,65.918816,12.24605,4680.0
18,2020,MOWI ASA,27976,Bukkholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,65.918816,12.24605,4680.0
16,2020,MOWI ASA,27976,Bukkholmen,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,65.918816,12.24605,4680.0
3,2020,MOWI ASA,27976,Bukkholmen,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,65.918816,12.24605,4680.0
11,2022,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.879467,8.543083,7020.0
8,2022,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.879467,8.543083,7020.0
7,2022,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.879467,8.543083,7020.0
5,2022,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.879467,8.543083,7020.0
51,2021,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.879467,8.543083,7020.0
50,2021,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.879467,8.543083,7020.0
49,2021,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.879467,8.543083,7020.0
45,2021,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.879467,8.543083,7020.0
44,2021,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.879467,8.543083,7020.0
43,2021,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.879467,8.543083,7020.0
42,2021,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.879467,8.543083,7020.0
39,2021,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,63.879467,8.543083,7020.0
29,2021,MOWI ASA,12435,Grøttingsøy,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,63.879467,8.543083,7020.0
33,2020,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.879467,8.543083,7020.0
30,2020,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,63.879467,8.543083,7020.0
5,2020,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.879467,8.543083,7020.0
4,2020,MOWI ASA,12435,Grøttingsøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.879467,8.543083,7020.0
11,2022,MOWI ASA,15403,Olderøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.10195,4.711383,3900.0
3,2022,MOWI ASA,15403,Olderøy,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.10195,4.711383,3900.0
48,2021,MOWI ASA,15403,Olderøy,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,61.10195,4.711383,3900.0
47,2021,MOWI ASA,15403,Olderøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.10195,4.711383,3900.0
24,2021,MOWI ASA,15403,Olderøy,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,deler av lokaliteten,,61.10195,4.711383,3900.0
23,2021,MOWI ASA,15403,Olderøy,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,deler av lokaliteten,,61.10195,4.711383,3900.0
22,2021,MOWI ASA,15403,Olderøy,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,deler av lokaliteten,,61.10195,4.711383,3900.0
21,2021,MOWI ASA,15403,Olderøy,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,deler av lokaliteten,,61.10195,4.711383,3900.0
5,2020,MOWI ASA,15403,Olderøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,61.103283,4.712233,3900.0
11,2022,SALMAR FARMING AS,12884,Sandnesbukta,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,62.737415,7.878516,1560.0
10,2022,SALMAR FARMING AS,12884,Sandnesbukta,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,62.737415,7.878516,1560.0
34,2021,SALMAR FARMING AS,12884,Sandnesbukta,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,62.737415,7.878516,1560.0
33,2021,SALMAR FARMING AS,12884,Sandnesbukta,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,62.737415,7.878516,1560.0
11,2022,MOWI ASA,24456,Slettholmene,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.88,8.559183,3120.0
10,2022,MOWI ASA,24456,Slettholmene,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.88,8.559183,3120.0
51,2021,MOWI ASA,24456,Slettholmene,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.88,8.559183,3120.0
50,2021,MOWI ASA,24456,Slettholmene,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.88,8.559183,3120.0
44,2021,MOWI ASA,24456,Slettholmene,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,63.88,8.559183,3120.0
39,2021,MOWI ASA,24456,Slettholmene,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,63.88,8.559183,3120.0
29,2021,MOWI ASA,24456,Slettholmene,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,63.88,8.559183,3120.0
11,2022,NRS FARMING AS,10839,Store Kufjord,medikamentell,Annet virkestoff,badebehandling,Ingen,hele lokaliteten,,70.35332,23.079117,2700.0
1,2022,NRS FARMING AS,10839,Store Kufjord,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,70.35332,23.079117,2700.0
46,2021,NRS FARMING AS,10839,Store Kufjord,medikamentell,Deltamethrin,badebehandling,Ingen,deler av lokaliteten,,70.35332,23.079117,2700.0
42,2021,NRS FARMING AS,10839,Store Kufjord,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,70.35332,23.079117,2700.0
31,2021,NRS FARMING AS,10839,Store Kufjord,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,70.35332,23.079117,2700.0
30,2021,NRS FARMING AS,10839,Store Kufjord,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,70.35332,23.079117,2700.0
10,2022,MOWI ASA,10110,Djupevik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,59.1474,5.863783,5460.0
51,2021,MOWI ASA,10110,Djupevik,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,59.1474,5.863783,5460.0
50,2021,MOWI ASA,10110,Djupevik,medikamentell,Annet virkestoff,badebehandling,Ingen,hele lokaliteten,,59.1474,5.863783,5460.0
50,2021,MOWI ASA,10110,Djupevik,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,59.1474,5.863783,5460.0
32,2020,MOWI ASA,10110,Djupevik,mekanisk fjerning,Ingen,Ingen,Ingen,hele lokaliteten,,59.1474,5.863783,5460.0
30,2020,MOWI ASA,10110,Djupevik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,59.1474,5.863783,5460.0
25,2020,MOWI ASA,10110,Djupevik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,59.1474,5.863783,5460.0
24,2020,MOWI ASA,10110,Djupevik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,59.1474,5.863783,5460.0
11,2020,MOWI ASA,10110,Djupevik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,59.1474,5.863783,5460.0
9,2020,MOWI ASA,10110,Djupevik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,59.1474,5.863783,5460.0
3,2020,MOWI ASA,10110,Djupevik,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,59.1474,5.863783,5460.0
1,2020,MOWI ASA,10110,Djupevik,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,hele lokaliteten,,59.1474,5.863783,5460.0
10,2022,MOWI ASA,11740,Haverøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.404766,4.93995,4680.0
9,2022,MOWI ASA,11740,Haverøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.404766,4.93995,4680.0
7,2022,MOWI ASA,11740,Haverøy,medikamentell,Azamethiphos,badebehandling,Ingen,deler av lokaliteten,,60.404766,4.93995,4680.0
7,2022,MOWI ASA,11740,Haverøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.404766,4.93995,4680.0
5,2022,MOWI ASA,11740,Haverøy,medikamentell,Azamethiphos,badebehandling,Ingen,deler av lokaliteten,,60.404766,4.93995,4680.0
5,2022,MOWI ASA,11740,Haverøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.404766,4.93995,4680.0
4,2022,MOWI ASA,11740,Haverøy,medikamentell,Azamethiphos,badebehandling,Ingen,deler av lokaliteten,,60.404766,4.93995,4680.0
4,2022,MOWI ASA,11740,Haverøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.404766,4.93995,4680.0
2,2022,MOWI ASA,11740,Haverøy,medikamentell,Azamethiphos,badebehandling,Ingen,hele lokaliteten,,60.404766,4.93995,4680.0
2,2022,MOWI ASA,11740,Haverøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.404766,4.93995,4680.0
1,2022,MOWI ASA,11740,Haverøy,medikamentell,Azamethiphos,badebehandling,Ingen,hele lokaliteten,,60.404766,4.93995,4680.0
1,2022,MOWI ASA,11740,Haverøy,mekanisk fjerning,Ingen,Ingen,Ingen,deler av lokaliteten,,60.404766,4.93995,4680.0
20,2021,MOWI ASA,11740,Haverøy,medikamentell,Emamectin benzoat,fôrbehandling,Ingen,deler av lokaliteten,,60.404766,4.93995,4680.0
